product_code,price_inr,year
ARCHDDE20D,2750,2024
ARCH158F41,5740,2024
ARCHAFF0E4,4610,2024
ARCH6B94F7,3910,2024
ARCH5D1FE7,1610,2024
ARCH7B49A9,1610,2024
ARCH497D34,1100,2024
ARCHE71D79,5830,2024
ARCHDD8749,3930,2024
BADMC045D4,4500,2024
BADM88C384,790,2024
BADMA5EBA3,5910,2024
BADM4BAB38,6460,2024
BADMDC6AB1,1820,2024
BADM50C510,1660,2024
BADM2459FB,1670,2024
BADM9DDCED,2320,2024
BADMD11DA6,3510,2024
BADMDA1B05,3010,2024
BADM376040,2250,2024
BADM03A202,3980,2024
BADME151E6,1430,2024
BADMDA5EC8,2820,2024
BADM48A260,2260,2024
BADM8FFE12,3140,2024
BADM1B8332,4910,2024
BADM7E90FB,1750,2024
BASK7F5383,3660,2024
BASKEE612D,4130,2024
BASK4C69DF,830,2024
BASK9E4294,4230,2024
BASKEE32E4,1580,2024
BASKE57A19,940,2024
BASK728A58,8180,2024
BASKED86BF,6390,2024
BASK32528E,7070,2024
BASK984F74,2390,2024
BOX8606F7,950,2024
BOXD26891,4230,2024
BOX17AD9F,2860,2024
BOXB9DCC6,1250,2024
BOX3DC0E4,3650,2024
BOX381514,590,2024
BOX386644,5490,2024
BOX3A9CA9,1850,2024
BOXB0228B,3490,2024
CAMP24F868,4540,2024
CAMPA3B110,4400,2024
CAMPEE1159,4600,2024
CAMP7A5E65,1890,2024
CAMP69AF0F,8550,2024
CAMP10C410,6000,2024
CAMPECAADE,10560,2024
CAMPF24336,11540,2024
CAMPE624C8,4980,2024
CAMP11E3FA,7410,2024
CAMPCB6B05,1160,2024
CAMPDFA679,1970,2024
CAMP4005E6,840,2024
CAMPD5615D,4120,2024
CRICA1EEE0,3550,2024
CRIC7723F0,2780,2024
CRIC97BE68,7380,2024
CRIC2716B4,3960,2024
CRIC6888B0,3360,2024
CRICE4E9A2,4480,2024
CRIC670481,1650,2024
CRICCCD675,9230,2024
CRIC05FECB,1350,2024
CRIC681856,9680,2024
CRICBBFD56,5540,2024
CRIC57FB52,2060,2024
CRIC294CD6,700,2024
CRIC892BAA,6400,2024
CRIC2AE4DF,6400,2024
CRICC0D928,5270,2024
CRIC341BC8,6920,2024
CRICB9EBFF,1880,2024
CRIC5B2A0F,3620,2024
CRIC2D3CF5,1880,2024
CRICC6CF02,7040,2024
CRICA7893F,8130,2024
CRICA5001D,3440,2024
CRIC94FE34,940,2024
CRIC1FC74E,3630,2024
CRIC905F1B,4320,2024
CRIC35B3C7,8480,2024
CRIC462BA5,5380,2024
CRICBDB8DA,6910,2024
CRIC1BA87E,4960,2024
CRIC7633A6,1500,2024
CRIC8B52CE,4830,2024
CRIC538334,7270,2024
CRIC385D92,4580,2024
CRICF950D4,5170,2024
CRIC16E55F,5260,2024
CRIC02DA3C,4540,2024
CRIC98DB22,5370,2024
CRICCE879E,1100,2024
CRIC372046,1540,2024
CRICF6D4C2,1610,2024
CRIC7270D1,5140,2024
CRIC64B186,3260,2024
CRIC2841E6,6830,2024
CRIC2101AF,6260,2024
CRICDB62E7,2200,2024
CRICA7A3B4,5190,2024
CRICD69383,5980,2024
CRIC97883A,2580,2024
CRIC55A6B5,1090,2024
CRIC7A3D0A,3750,2024
CRIC76C189,1880,2024
CRIC8DF8D8,9010,2024
CRIC19DC2D,6350,2024
CRICAEA857,5890,2024
CRIC55BF8F,6180,2024
CRICA76614,6320,2024
CRIC2D7B61,2510,2024
CRICC6150F,6710,2024
CYCLDE0772,3810,2024
CYCLBD7368,5750,2024
CYCL9F921D,6320,2024
CYCL8D32DD,2950,2024
CYCL903AF1,1400,2024
CYCLB9F510,1980,2024
CYCL3A3BA9,4100,2024
CYCL28EDD2,5820,2024
CYCL8D92F6,7620,2024
CYCLA4B3CA,550,2024
FISHE20FE7,3260,2024
FISH435E84,2740,2024
FISHF83738,1640,2024
FISH731A02,1070,2024
FISH8CF49F,2290,2024
FISH6AC780,6250,2024
FISHC4F1E3,2210,2024
FISH9C6E1A,3310,2024
FISH9DCA51,4340,2024
FISHA6E17F,2440,2024
FOOTDA10C6,6430,2024
FOOT8B25BD,5420,2024
FOOTBCD3A9,2070,2024
FOOTC865F3,3720,2024
FOOT9DB3E4,2370,2024
FOOTB533BF,2960,2024
FOOT80D996,770,2024
FOOT0CD3DE,4660,2024
