product_id,month,gross_price
25891101,2025/07/01,-84
25891101,01/08/2025,unknown
25891101,2025/09/01,84
25891101,2025-10-01,83
25891101,2025-11-01,83
88888888,2025-12-01,-83
25891102,2025-07-01,68
25891102,2025-08-01,68
25891102,2025-09-01,68
25891102,2025-10-01,69
25891102,2025-11-01,69
25891102,2025-12-01,69
25891103,2025/07/01,85
25891103,01/08/2025,85
25891103,2025/09/01,85
25891103,2025-10-01,not_available
25891103,2025/11/01,86
25891103,2025-12-01,86
25891201,2025-07-01,108
25891201,2025/08/01,108
25891201,2025-09-01,108
99999999,2025-10-01,108
25891201,2025-11-01,108
25891201,2025-12-01,108
25891202,2025-07-01,94
25891202,2025/08/01,94
25891202,01-09-2025,94
25891202,2025/10/01,100
25891202,2025-11-01,unknown
88888888,2025-12-01,100
25891203,2025/07/01,132
25891203,2025-08-01,132
99999999,2025-09-01,132
25891203,2025-10-01,138
88888888,2025-11-01,138
25891203,01/12/2025,138
25891301,2025-07-01,456
25891301,2025-08-01,456
25891301,01-09-2025,456
25891301,2025-10-01,493
25891301,2025-11-01,493
25891301,2025-12-01,-493
25891302,2025-07-01,275
25891302,01/08/2025,unknown
25891302,2025-09-01,-275
88888888,2025/10/01,300
25891302,2025-11-01,-300
25891302,2025-12-01,300
25891303,2025/07/01,369
25891303,01/08/2025,369
25891303,2025-09-01,369
25891303,2025-10-01,432
25891303,2025-11-01,432
25891303,2025-12-01,432
25891401,2025-07-01,74
99999999,2025/08/01,74
25891401,2025-09-01,74
25891401,2025-10-01,79
25891401,2025/11/01,79
25891401,2025-12-01,79
25891402,2025-07-01,47
25891402,2025-08-01,47
25891402,2025-09-01,47
25891402,2025-10-01,53
25891402,2025-11-01,53
25891402,2025-12-01,not_available
77777777,2025-07-01,49
25891403,2025-08-01,49
25891403,2025-09-01,-49
25891403,2025-10-01,50
25891403,2025-11-01,50
25891403,2025-12-01,50
25891501,2025/07/01,321
25891501,2025-08-01,321
25891501,01/09/2025,321
25891501,2025-10-01,-365
25891501,2025-11-01,365
25891501,2025-12-01,365
25891502,2025-07-01,203
25891502,2025-08-01,203
99999999,2025-09-01,203
25891502,2025/10/01,237
25891502,2025-11-01,237
25891502,01-12-2025,237
88888888,2025-07-01,292
25891503,01-08-2025,292
25891503,01/09/2025,292
25891503,2025-10-01,unknown
25891503,2025-11-01,281
25891503,01/12/2025,281
25891601,2025-07-01,-444
25891601,2025-08-01,444
25891601,2025-09-01,444
25891601,01/10/2025,440
25891601,2025-11-01,440
88888888,2025-12-01,-440
25891602,2025-07-01,-289
25891602,2025-08-01,289
25891602,2025-09-01,-289
88888888,2025-10-01,296
25891602,2025-11-01,296
25891602,2025-12-01,296
25891603,2025-07-01,171
25891603,2025-08-01,171
25891603,2025-09-01,171
25891603,2025-10-01,187
88888888,2025-11-01,187
25891603,01/12/2025,187
